Cer-CycPro	Cer-Endo	Cer-ExN-1	Cer-ExN-2	Cer-ExN-3	Cer-ExN-4	Cer-ExN-5	Cer-InN-1	Cer-InN-2	Cer-InN-3	Cer-InN-4	Cer-InN-5	Cer-InN-6	Cer-InN-7	Cer-InN-8	Cer-IP	Cer-MG	Cer-OPC	Cer-RG-1	Cer-RG-2	Cer-RG-3	FC-CycPro	FC-Endo	FC-ExN-1	FC-ExN-2	FC-ExN-3	FC-ExN-4	FC-ExN-5	FC-InN-1	FC-InN-2	FC-InN-3	FC-InN-4	FC-IP	FC-MG	FC-N-undef	FC-OPC	FC-RG-1	FC-RG-2	GE-CycPro	GE-InN-1	GE-InN-2	GE-InN-3	GE-InN-4	GE-InN-5	GE-InN-6	GE-InN-7	GE-RG-1	GE-RG-2	GE-RG-3	Hipp-CR-1	Hipp-CR-2	Hipp-CycPro	Hipp-Endo	Hipp-ExN-1	Hipp-ExN-2	Hipp-ExN-3	Hipp-ExN-4	Hipp-ExN-5	Hipp-ExN-6	Hipp-InN-1	Hipp-InN-2	Hipp-InN-3	Hipp-InN-4	Hipp-MG	Hipp-OPC	Hipp-RG-1	Hipp-RG-2	Hipp-RG-3	Thal-CycPro	Thal-Endo	Thal-ExN-1	Thal-ExN-2	Thal-ExN-3	Thal-InN-1	Thal-InN-2	Thal-InN-3	Thal-InN-4	Thal-InN-5	Thal-InN-6	Thal-InN-7	Thal-InN-8	Thal-IP	Thal-MG	Thal-OPC	Thal-RG-1	Thal-RG-2	Thal-RG-3	Thal-RG-4	Thal-RG-5	Thal-RG-6	Thal-RG-7
AC087721.1	BGN	FAM155A	AC007220.2	JAG2	AC092078.2	DBF4B	ADGRD1	PWRN4	AL137244.1	AL358333.3	AL353704.2	AC020658.3	AC068338.3	AC003005.2	GOLGA8H	AL034397.3	SLC25A35	PAH	LINC01080	AL353660.1	PPM1D		AC016876.1	KIFC3	AC079336.5	RTN4RL1	SOCS7	ABHD15-AS1	RARA	MFAP4	ZNF765	L3MBTL4-AS1		RSPO4		AC093512.2	LINC02003	ZNF726	FAM71E1	AC022154.1	CATSPERG	ALKBH6	NPAS1	POU2F2	Z99774.1	STAP2	RELB	PLIN3	GNG8	SRPX2	PXMP4		HES7	LINC01630	RAB3A	ZNF324B	IGFL4		ZNF529-AS1	PPP1R13L	AC010300.1				MYOM1	CCDC159	TSHZ3	ATP2C2		TRPV1	OR7D2	F8A1	AC015712.1	RORA	MESP2	AC092384.2	AC022558.2	AC040174.1	TNS4	ZNF784	TEPSIN		MARCH10	GABRG3-AS1	EMP2	CCDC189	PLEKHH3	NAPA-AS1	CACNA1H	TP53I13
AC011330.2	ABCD1	AL445649.1	AC109597.2	AC087386.1	SLC24A5	KIF18B	LINC01257	PWRN1	LMO7DN	PTGDR	ARHGEF7-AS2	AC025166.1	NEIL1	ZNF416	AC055874.1	VSIG4	NTN1	ASCL1	AL137781.1	LINC00381	BRIP1		SOX15	ZNF319	AC079336.4	AC099684.2	EPOP	SSH2	KRT19	AC005697.2	ZNF761	AP005210.2		TMEM74B		AC093249.6	LINC02074	AC011503.1	JOSD2	MAMSTR	LRFN1	COX7A1	PLA2G4C	PRR19	LINC01422	CHAF1A	EMP3	AC011444.1	SLC8A2	CENPI	AL035458.2		AC005548.1	AC006305.1	KLHL26	SLC27A5	DACT3-AS1		AC010632.1	RTN2	AC006504.2				AP005329.2	CCDC151	AC025809.1	AC025280.3		AC027796.1	SHFL	RAB39B	Z69720.1	AC009560.3	AC091544.4	CPNE7	AC103876.1	CES4A	AC073508.3	NLRP9	AC139149.1		TANC2	AC104002.3	TEKT5	CTF1	LINC00671	NUCB1-AS1	AC120498.3	AC104982.2
WDR76	SLC10A3	FAM155A-IT1	PLA2G10	AC138649.1	AC023355.1	LRRC37A	AC073578.2	NPAP1	LINC01068	AL356020.1	AL353704.1	AC020661.1	AC019294.2	AC012313.1	AC010809.3	AL157700.1	AC005695.1	AC068643.1	SPRY2	EDNRB-AS1	AC080038.1		CTC1	CCDC113	AC025211.1	AC027796.4	STAC2	AC023389.1	KLHL11	LYRM9	CACNG8	AP000897.2		SIRPB1		AC106886.3	FADS6	AC011503.2	IGLON5	TEAD2	FCGBP	ZNF345	GRIN2D	PSG8-AS1	AL121885.2	PLIN5	CA11	RFX2	NAPA-AS1	TIMM8A	TGIF2		SHISA6	RAX	AC005197.1	TRIB3	BBC3		ECH1	PPM1N	LINC01801				TGIF1	ZNF823	FAAP24	GINS2		P2RX5	ICAM4	F8A3	AL031709.1	AC009560.4	LINC01197	RPH3AL	AC048382.5	LRRC29	HAP1	ZNF582-AS1	ANAPC11		AC006270.1	GOLGA8M	RMI2	FBXL19-AS1	PYY	SLC17A7	MSRB1	NSRP1
AC091117.2	AC244090.3	AL136964.1	AC009152.1	GOLGA6L7	AC022467.2	AC018521.4	AC073578.1	SNHG14	AL136442.1	BMP4	F10	CHAC1	TMEM266	SCRT2	AC010809.1	TEX11	MYH13	AC068643.2	AL590807.1	EDNRB	KPNA2		AC087501.1	AC092131.1	PIGW	DLG4	NEUROD2	AC104982.2	AC099811.4	AC061975.8	AC010327.8	AP001381.1		AL050403.2		SHCBP1	RNF157-AS1	AC073534.2	ZNF175	AC010524.1	LTBP4	ZNF829	LMTK3	TEX101	RFPL1S	UHRF1	TRPM4	AC011444.2	EMP3	Z68871.1	DSN1		AC005725.1	HMSD	ATP13A1	RSPO4	CABP5		DLL3	FBXO46	SCN1B				AP005059.1	ZNF563	KCTD15	CDT1		CAMKK1	ZNF442	TTTY14	AC005606.2	RORA-AS2	AC104260.3	AC006435.2	ZSCAN2	AC027682.2	KLHL10	AC005498.3	AC132872.1		AC015923.1	GOLGA8R	AC099489.1	AC007344.1	AC003102.1	FLT3LG	ZNF174	AC104984.3
AC023355.1	BX571846.1	AL138694.1	AC138811.1	FAM189A1	FAM227B	COPZ2	AC131009.2	AC124312.5	LINC00351	LINC00520	DCUN1D2-AS	AC020661.4	AC091100.1	SIRPG	AVEN	AL590764.1	TMEM238L	C12orf42	LINC00351	OBI1-AS1	SLC16A6		AC015908.3	CDH11	AC006449.3	FGF11	AC087491.1	OMG	AC099811.5	AC002094.4	AC010327.5	AP001029.2		AL109838.1		ORC6	ST6GALNAC2	AC005381.1	SPACA6P-AS	SCAF1	AC011462.5	AC010632.1	PPP1R15A	SRRM5	CCDC157	AC011444.1	SLC6A16	PRAM1	GRIN2D	AL021308.1	RBL1		AC104024.4	AC016588.2	ZNF682	TMEM74B	LMTK3		EID2B	DM1-AS	FXYD7				LAMA1	ZNF442	PROSER3	AC137932.3		ATP2A3	AC008758.2	AC004556.3	AC009065.8	AC022898.1	AC012409.2	OR3A3	PLIN1	SMPD3	KLHL11	AC006115.2	AC144831.1		AC005828.1	AC091057.2	AC099489.3	CCDC102A	GFAP	AC008750.7	ADCY9	ATAD5
AC022467.2	AC011841.1	AL356740.1	AC002550.2	AC107980.1	DTWD1	TTLL6	FGF9	AC100774.1	AL360267.2	AL163952.1	AL160396.1	CAPN3	LINGO1	CENPB	CHRM5	ATP7A	AC022816.1	AC079385.1	AL356413.1	LINC01069	AC005208.1		TEKT3	CARMIL2	NEUROD2	WRAP53	PPP1R1B	AC004253.1	HSD17B1	AC104984.2	ZNF583	SPIRE1		SEL1L2		AC087564.1	LINC00868	AC005394.1	AC011468.1	FAM71E1	POU2F2	ZNF570	NR1H2	ZNF284	TCN2	AC011444.2	CD37	MYO1F	GRWD1	MORF4L2-AS1	MANBAL		MPRIP-AS1	PLPP2	ZNF98	SNPH	AC022154.1		FBL	IRF2BP1	ATP4A				APCDD1	ZNF799	WDR62	SPATA33		AC127521.1	AC010422.2		AMDHD2	AC022898.2	AC024337.1	ATP2A3	FURIN	AC126773.6	DHX58	ZIM2	AP000894.2		AC005828.3	MTMR10	LITAF	DRC7	C1QL1	ZNF649-AS1	SRL	AC130324.1
CEP152		GRTP1	AC027130.1	TRPM1	AC022087.1	AC091133.1	ATP12A	LINC02352	MIR4500HG	SLC35F4	AL161668.3	PPIP5K1	ANKRD34C	AL031670.1	AC087457.1	CYSLTR1	TBC1D26	RFX4	SLITRK6	AL138957.1	LINC02003		AC005703.4	ACD	AC087491.1	CYB5D1	PNMT	AC005899.6	AC100793.3	AC127024.3	AC005498.3	PSMG2		MACROD2		AC137494.1	TK1	AC079466.2	ZNF841	JOSD2	PSG8	KCNK6	ASPDH	GEMIN7-AS1	INPP5J	SH2D3A	BCL2L12	AC008752.1	RPL18	ZCCHC18	TTI1		TRIM16L	HCN2	LINC00906	ZNF343	C19orf73		CCDC97	DACT3-AS1	ZBTB32				GREB1L	ZNF564	LTBP4	FANCA		AC233723.1	AC018761.2		AJ003147.2	AC012404.1	FAM169B	AC004148.1	AC116903.2	TANGO6	KCNH4	ZNF460-AS1	ADCYAP1		KCNH6	AC114546.1	NPIPB2	CCDC113	PLCD3	AC010320.4	AC007222.2	TMEM98
USP50		GRTP1-AS1	AC008551.1	OTUD7A	AC084756.1	IGF2BP1	AL391560.2	PAK6	AL355578.1	AL161804.1	REM2	STRC	MINAR1	SMOX	ACTC1	AL022151.1	AC020558.1	AC079385.2	LINC00363	AL445209.1	SSTR2		TVP23C	CTRL	JUP	CHD3	PGAP3	AC005899.7	AOC2	AC005899.5	SMIM17	AP005482.3		AL079338.1		AC007344.1	SGSH	POP4	ZNF836	IGLON5	PSG8-AS1	CATSPERG	AC011468.1	EXOC3L2	RFPL3	DNMT1	KCNC3	COL5A3	CA11	MORC4	FAM83D		CCDC144NL	CFD	AC005597.1	EBF4	PPFIA3		B9D2	NPAS1	PSENEN				AC015878.1	DAND5	AXL	RPA1		PLD2	MRI1		C16orf71	AC012404.2	AC036108.1	AC007846.1	ST8SIA2	HAS3	HCRT	ZNF419	AP005328.1		AC037487.2	AC021231.1	U95743.1	AC010542.5	LRRC37A	ZNF808	LINC02177	SLFN11
AC012378.2		TMCO3	AC008870.2	AC123768.1	AC026770.1	AC091133.4	ATP8A2	AC020658.5	SLITRK5	SYT16	RNF212B	AC025580.3	TMC3-AS1	AL121890.4	LINC02853	DIAPH2	EPN2	CORO1C	LINC00391	POU4F1	BTBD17		AC005838.2	DDX28	AOC2	HES7	KRT222	AC025211.1	ARL4D	AC005899.1	MIMT1	AP002449.1		SLC24A3		AC092140.1	TSPAN10	CCNE1	ZNF578	SPACA6P-AS	TEX101	CCER2	ZNF468	AC092301.1	SYN3	QTRT1	C19orf81	SHFL	FUT1	NUP62CL	PTPRT		CCDC144NL-AS1	AC027307.3	ZNF536	CDC25B	TRPM4		PSG8	ZC3H4	LINC01534				LAMA3	C19orf57	TMEM91	AC006435.2		KIF1C	MISP3		PPL	AC104574.2	LUNAR1	PITPNM3	AC106028.3	SNTB2	CCR10	TMEM74B	AP000829.1		PRKCA	DPH6	AC136431.1	CMTM4	WNT3	AC022150.4	GRIN2A	PEX12
PRTG		AL442125.1	AC008870.4	AC055874.1	MAPK6-DT	B4GALNT2	SHISA2	RPUSD2	LINC00440	AL390816.1	MYH7	AC092078.2	TMC3	PCNA	AC087516.2	TNMD	EPN2-AS1	AC007637.1	CLYBL-AS1	RBM26-AS1	UBALD2		ZNF286A	SMPD3	ATXN7L3	GAS7	AC067852.2	AC244093.5	MIR2117HG	AC079336.4	ZNF460-AS1	LDLRAD4		CFAP61		BBS2	CLUL1	TDRD12	AC092070.3	ZNF649	CEACAM19	AC011443.1	ZNF845	AC007785.1	CACNG2	LDLR	CLEC11A	LDLR	SLC17A7	FRMPD3-AS1	MYBL2		AC005726.5	LINGO3	AC011478.1	CHGB	SLC17A7		ZNF576	MEIS3	ZNF570				AC023983.1	AC022098.1	B9D2	TRPV3		PITPNM3	AC008569.2		SEC14L5	AC018618.1	AC087762.1	SLC16A13	Z69720.1	FCSK	ARL4D	FERMT1	AP005262.2		AC007448.5	DPH6-DT	XYLT1	TPPP3	WNT9B	AC245884.1	U95743.1	RDM1
NEDD4		TMEM255B	AC133552.5	RYR3	ONECUT1	NXPH3	WASF3-AS1	SPINT1-AS1	LINC01047	AL390816.2	AL135999.1	AC066612.1	AC060809.1	LINC00654	AC078909.1	BTK	AC061975.8	ACACB	PCCA-DT	AL158064.1	AC015802.6		MPRIP-AS1	AC126773.6	AC004596.1	MYH4	CCR10	LINC00672	AC004596.1	AC025211.1	ZNF547	AP002439.1		AL035252.2		MT3	TYMSOS	FAAP24	ZNF845	AC011468.1	CD3EAP	FCGBP	LAIR1	PNMA8B	AL049749.1	KANK2	CLDND2	AC020916.1	RPS11	FRMPD3	PABPC1L		PROCA1	CACTIN	FAAP24	ANKEF1	AC010624.3		LYPD5	BICRA-AS1	SARS2				AQP4-AS1	AC011509.2	ERF	AC116914.2		AC040977.1	AC008764.6		AC007222.2	AC100839.1	AC015712.1	FGF11	PRR35	AC009097.2	LINC01976	BMP2	AP001025.1		AC002546.1	AC021351.1	AC109446.3	ZDHHC1	HOXB-AS1	AC245884.9	NPIPA2	AC243773.1
AC084782.2		GAS6-AS1	IL21R	AC010809.3	WDR72	AC015795.1	GPR12	SPINT1	LINC02336	SPTB	PCK2	SHC4	AC026624.1	LINC01428	AC023908.3	GLA	AC010761.3	TCTN1	TMTC4	LINC01080	C17orf99		RASD1	CDH13	CRHR1	AC005548.1	PTGES3L	RARA-AS1	MEIOC	ASIC2	ZNF749	LDLRAD4-AS1		AL031658.1		NLRC5	ENOSF1	KCTD15	ZNF525	ZNF480	RTN2	SHKBP1	AC245884.8	DACT3	CDC42EP1	CCDC151	AC245884.1	DNAJB1	AC010624.2	TMEM164	AL031663.3		AC104984.2	MATK	WDR88	AL050403.2	AC008655.1		ZNF225	CABP5	SPTBN4				AQP4	NOTCH3	PSG8	ENO3		EFNB3	AC008764.2		AC007220.1	AC100839.2	AC090907.2	ALOX12B	CACNA1H	PKD1L3	PYY	SNAP25-AS1	DLGAP1-AS2		AC005208.1	AC078909.1	AC009152.6	ENKD1	FAM117A	COX6B2	BMERB1	AC244093.5
MNS1		RNASE4	SPN	AC010809.1	AC084759.2	EME1	FLT3	RHOV	LINC00353	FAM71D	TINF2	HDC	HOMER2	AL034427.1	GPR176	NXT2	AC010761.1	HVCN1	NALCN-AS1	AL137781.1	TK1		AC087164.1	AC099506.1	MAPT-AS1	SHISA6	MEOX1	JUP	AC091132.2	AC008133.1	AC004076.2	AP005131.5		AL121583.1		CPNE2	AP001178.2	AD000671.3	ZNF813	ZNF528-AS1	PPM1N	DMAC2	NLRP2	DACT3-AS1	ANKRD54	AC010422.2	AC245884.9	SYDE1	KCNC3	RBMX2	WFDC3		AC127024.6	ZFR2	LRP3	SEL1L2	KCNC3		ZNF180	GRWD1	CCDC97				CHST9	AC020917.2	PSG8-AS1	USP6		TMEM88	F2RL3		CPPED1	SNX22	CCDC78	ALOXE3	MEIOB	ZFHX3	ASB16	SEL1L2	AKAIN1		KCNJ16	RASGRP1	AC009152.3	C16orf86	TAC4	IL11	AC002550.2	C17orf78
AC084782.3		REM2	SEZ6L2	GJD2	UNC13C	AC021491.1	PAN3-AS1	AC020661.1	LINC00559	PLEKHD1	AL135878.1	AC023906.3	BNC1	ANKEF1	DISP2	XACT	TLCD1	AC004551.1	LINC00411	DCT	BIRC5		FOXO3B	AC125793.1	MAPT	AC005725.1	MPP2	HCRT	AC091132.1	AC011824.2	AC003682.1	AP005131.6		GDF5		ADGRG1	DLGAP1-AS1	PROSER3	NLRP12	ZNF578	QPCTL	PSG8	ZNF579	INAFM1	PICK1	IL27RA	AL110114.1	NOTCH3	FAM71E1	STK26	UBE2C		MYO1D	CATSPERD	CHST8	MACROD2	SYT3		TRAPPC6A	PPP1R15A	EXOSC5				DTNA	CPAMD8	PLAUR	PIMREG		HES7	AC020908.3		AC109597.1	AC055855.1	HAGHL	HES7	ZSCAN32	AC002044.1	ATXN7L3	KAT14	AP001496.4		SOX9-AS1	AC116158.3	KNOP1	TSNAXIP1	AC027801.1	TMEM238	AC027130.1	EPOP
CCNB2		CDH24	C16orf92	AC078909.1	AC012378.2	HLF	MTUS2	AC020661.4	LINC00363	ADAM20	AL132857.1	AC023906.4	SH3GL3	AL050403.2	AC020661.1	IL13RA1	AC010761.2	IQCD	AL138701.2	LINC00391	LGALS3BP		AC107982.3	KIAA0513	MAPT-IT1	ARHGAP44	RUNDC3A-AS1	AC099811.5	MAPT-IT1	AC024610.2	AC020915.1	AP005131.1		SNHG11		CMTM3	AP002478.1	WDR62	AC008440.1	AC010332.3	IRF2BP1	PSG8-AS1	ZNF865	KPTN	AL022322.1	ASF1B	AL109809.5	AC004257.1	SYT3	MBNL3	SLC2A10		AC079336.4	SLC25A41	ZNF599	MACROD2-AS1	SHANK1		PPP1R13L	PTOV1-AS1	PSG8				AC022601.1	AC020908.1	AC006213.2	KCNAB3		USP43	IQCN		SHISA9	SKOR1	LMF1-AS1	GSG1L2	SRL	AC140912.1	FZD2	LINC00653	AP005671.1		LINC02097	LINC02694	IQCK	AC020978.3	DLX4	AC006116.8	AC127459.2	TOP2A
AC092757.2		ZFHX2-AS1	AC116348.3	AC109630.1	TEX9	SMIM36	MTUS2-AS2	ITPKA	HS6ST3	HEATR4	LINC02315	AC018904.1	AC048382.6	RBBP9	AC020661.2	LONRF3	TRAF4	SDSL	AL139379.1	SOX21-AS1	CANT1		PRPSAP2	LINC00311	CR936218.2	HS3ST3A1	RUNDC3A	AC100793.3	CR936218.1	TMEM132E	SNPH	AP005131.3		L3MBTL1		PLEKHG4	AP005203.1	ZNF850	LAIR1	ZNF600	IGFL4	TEX101	ZNF583	PLA2G4C	AL021707.4	NOTCH3	AL117335.1	AC004597.1	C19orf81	FAM122B	AL035106.1		AC025211.1	TRIP10	RBM42	AL079338.1	MBOAT7		AC006262.1	NUP62	AC004784.1				MOCOS	HOMER3	BCAM	CNTROB		GSG1L2	AC005253.2		AC009134.1	AC107871.2	SSTR5-AS1	AC005291.2	TFAP4	AC092114.1	ADAM11	AL136090.2	ARHGAP28		LINC00511	AC013652.1	GPRC5B	AC099521.3	ACSF2	ZNF17	PRKCB	HAP1
GCNT3		JPH4	AC002519.1	DISP2	AC084782.1	LPO	MTUS2-AS1	LTK	OXGR1	AC005225.2	DNAAF2	FAM81A	LINC01584	AL136090.2	AC068724.1	LINC01402	AC010761.5	TAOK3	EFNB2	AL138955.1	CBX2		AC004448.2	C16orf95	ARL17B	COX10-AS1	FAM171A2	EZH1	AC018521.5	SLFN5	AL109809.5	MIR133A1HG		TOX2		LCAT	AP005059.1	HNRNPL	NLRP2	ZNF525	NPAS1	SRRM5	ZNF543	ALDH16A1	CBX7	CYP4F22	SIRPA	CYP4F11	KLK4	AL136169.1	CSE1L		AC011824.2	SH2D3A	APLP1	PCSK2	GP6		PNMA8C	ZNF613	AC007785.1				LINC00907	MEF2B	PPP1R13L	AURKB		AC005323.2	CRLF1		U91319.1	AC087639.2	MEIOB	AC005323.2	AC023830.1	CLEC18B	AC008105.3	AL035252.2	AP005210.2		LINC02003	AC109630.1	ZKSCAN2-DT	VAC14-AS1	CHAD	ZNF530	HS3ST4	FKBP10
FOXB1		CARMIL3	AC007599.2	GCHFR	MNS1	TEX14	AL353648.1	AC018362.2	DOCK9	ACOT4	AL139099.2	AC037433.1	SEMA4B	AL109807.1	LCMT2	TMEM255A	DHRS13	AC004263.2	AL138689.2	AL442067.1	AC139530.1		LINC02094	AC116552.1	PNPO	HS3ST3B1	ITGA2B	AC060780.1	CBX1	LHX1-DT	ZNF343	AC090912.1		FITM2		AC004943.2	AP001021.3	AC011443.1	AC010327.5	ZNF761	BBC3	ZNF233	ZNF304	ZNF473	AL031590.1	AC004597.1	SPEF1	NWD1	CLDND2	AL035443.1	AL353653.1		AC022916.1	AC119396.2	LRFN3	AL135936.1	ZNF628		AC073548.2	ZNF841	PNMA8B				AC090376.1	AC011477.9	SIX5	SLC25A35		ZNF18	HOMER3-AS1		AC138932.5	AC104938.1	PGP	AC005548.1	AC074051.5	GSE1	AC126544.2	AL035252.5	PTPRM		CASKIN2	AC022196.1	HS3ST4	HYDIN	TOB1	AC008751.3	AC093516.1	ZNF385C
ANXA2		AL136295.2	ABCC12	AC025166.1	AC090518.1	AC100832.2	B3GLCT	LCMT2	DOCK9-AS1	ACOT6	LINC01588	AC100839.1	SLCO3A1	FAM242A	TP53BP1	SASH3	CORO6	KDM2B-DT	LINC00551	UBAC2-AS1	NARF-AS1		AC087393.2	CTU2	SKAP1	TBC1D26	ADAM11	NBR1	IGF2BP1	LHX1	ADRA1D	AC023983.1		WFDC2		AC009120.3	L3MBTL4	DLL3	EPN1	ZNF813	PLA2G4C	CD3EAP	ZNF419	AC010624.3	GRAP2	CPAMD8	ADRA1D	TMEM221	ZNF841	CDR1	ZNF217		LHX1-DT	AP1M2	SPRED3	SLC24A3	ZNF582		NAPA-AS1	ZNF836	ZNF541				ZBTB7C	ZNF90	AC074212.1	GAS7		MYOCD	AC002306.1		AC010601.1	AC022872.1	DNASE1L2	SHISA6	LINC01570	AC092377.1	CRHR1	AL390198.1	AP000897.2		ITGB4	FSIP1	AC093516.1	AC138625.2	ANKFN1	ZNF132	CDIPT	C17orf113
CA12		TINF2	CBLN1	MAPKBP1	GCOM1	AC099850.1	CCNA1	ELL3	DOCK9-DT	JDP2	NIN	AC100839.2	AC116903.2	DUSP15	AC122108.2	ELF4	AC104984.4	HPD	AL136964.1	LINC00411	AC124283.1		NATD1	AC135782.1	TAC4	AC104024.4	ACBD4	AC004596.1	AC004797.1	C17orf78	AL118505.1	LINC01915		SLC12A5		TMEM170A	L3MBTL4-AS1	FCGBP	ZFP28	NLRP12	CYTH2	RTN2	ZNF773	FAM71E1	MRTFA-AS1	HAUS8	PRNP	IQCN	AC010320.3	FMR1-IT1	AURKA		LHX1	SWSAP1	LRFN1	AL049647.1	ZNF304		AC011466.3	ZNF766	EMP3				LIPG	LINC00664	DM1-AS	AC005291.2		ARHGAP44	AC010615.2		AC027130.1	HCN4	AC009065.8	AC104024.4	AC006112.1	MTHFSD	MAPT-IT1	C20orf144	AP000897.1		AC015802.6	SRP14-AS1	AC009158.1	ZNF19	NOG	ZNF446	ASPHD1	GHDC
DAPK2		NYNRIN	AC007614.1	PLA2G4B	AC100830.2	SKA2	POSTN	FRMD5	FGF14-AS1	AC016526.2	AL606834.2	AC069368.2	ST8SIA2	C20orf144	AC051619.5	STK26	AC127024.3	WDR66	TNFSF13B	TEX29	AC144831.1		AC010761.1	MC1R	DGKE	AC020558.1	MAPT-IT1	HEXIM1	AC015909.2	TBC1D3D	BMP2	KCTD1		CDH22		NUDT7	LAMA1	SHKBP1	ZNF71	TFPT	LMTK3	PPM1N	ZIK1	SHANK1	MCHR1	AC020908.1	JAG1	MEF2B	ZNF600	CXorf40A	AL132655.2		PNMT	CACNA1A	PAF1	DUSP15	ZNF17		GRWD1	AC010320.3	DBP				SNHG22	ZNF492	DMWD	MYH3		HS3ST3B1	AC006504.2		AC008551.1	REC114	AC009065.4	AC055811.1	AC022167.2	ZCCHC14	ARL17B	RALY-AS1	NDUFV2-AS1		AC021683.3	CHST14	LINC02195	AC010547.3	MSI2	AC012313.9	CORO1A	BRCA1
AC015914.1		AL079343.1	AC007861.1	AC090510.1	AC103691.1	PRR11	TRPC4	AC091074.2	METTL21C	AC016526.1	AL358332.1	MEGF11	AC091544.4	AL031668.1	AC068722.1	MIR503HG	AC130324.1	AC069503.1	TEX29	SOX1-OT	TYMSOS		PIPOX	DEF8	HSF5	AC087164.1	KANSL1-AS1	AC138150.1	MRPL27	ZNF385C	AL353612.2	AC007996.1		SALL4		VAT1L	AP002409.1	AC008537.4	AC005261.1	LENG1	PPP1R15A	IRF2BP1	AC010326.3	IGLON5	LINC00634	TMEM221	AL050403.2	NCAN	ZNF468	ZNF185	AL160412.1		KCNH4	MISP3	FCGBP	TTLL9	VN1R1		MAMSTR	ZNF880	C19orf73				CFAP53	AC011503.1	AC007193.2	TMEM220-AS1		AC005224.2	CCNE1		PDZD9	NPTN	ZNF597	AC087164.1	AC040173.1	AC105429.1	LRRC37A2	AL031668.2	RALBP1		AC021683.5	GATM	NSMCE1-DT	CHST4	CUEDC1	AL109809.5	MYLPF	TMEM106A
PCLAF		AL110292.1	ZNF423	CKMT1B	IGDCC4	AC091271.1	LINC00366	FBN1	COL4A2	ESRRB	AL358333.3	AC110048.2	AC091078.1	TGM2	AC091074.3	AL590282.2	AC138207.7	CLIP1	SOX1	SOX1	TYMS		SEZ6	DBNDD1	AC040904.1	AC107982.3	ARL17A	HEXIM2	AC005921.2	AC099811.1	ANKEF1	AC090206.1		TSHZ2		WWOX-AS1	AP005062.1	AC011462.5	ZNF304	EPS8L1	RUVBL2	CCDC61	AC020915.1	AC008750.4	OGFRP1	TM6SF2	BTBD3	AC002306.1	OSCAR	ZFP92	AL162457.2		PTGES3L	ADGRL1	MAP3K10	AL031658.1	ZNF552		NUCB1-AS1	ZNF528-AS1	PPFIA3				AC027097.1	AC079466.2	AC007193.1	AC015908.3		CDRT4	AC007773.1		AC092338.2	NPTN-IT1	LINC01569	AC127537.1	XYLT1	AC092720.1	TBKBP1	ASIP	AP006219.3		BIRC5	AC092078.2	QPRT	AC010547.2	AC015813.4	ADRA1D	AC002310.1	LINC01976
RBPMS2		LINC02293	AC007610.1	FRMD5	TIPIN	AC040904.1	VWA8	AC022306.3	COL4A2-AS2	AL136040.2	PTGDR	SKOR1	AC110023.1	LBP	AC091074.2	ARHGEF6	EVI2A	CLIP1-AS1	LINC01043	AL356961.1	METTL4		AC023389.1	GAS8	AC005884.1	MAPK7	NSF	AC091132.2	MBTD1	AC099811.5	SNAP25-AS1	AC090403.1		AL391097.3		AC009141.1	GACAT2	AC011462.4	ZNF772	PPP1R12C	ATF5	HIF3A	ZBTB45	SPACA6P-AS	MPPED1	ZNF90	SPTLC3	LINC00663	AC245884.8	TMEM187	HAR1A		MAPT-AS1	SLC1A6	SERTAD3	C20orf203	ZSCAN22		PIH1D1	ZNF578	ZNF473				CDH20	PROSER3	CCDC8	PIRT		CDRT1	TDRD12		AC130466.1	LOXL1-AS1	SEC14L5	AC015726.1	AC109446.3	AC134312.4	OSBPL7	TP53INP2	AP002449.1		TMEM235	SLC12A1	AC093512.2	MARVELD3	AC080038.1	AL121781.1	ZNF629	AC103703.1
PIF1		LINC00645	BRD7	AC122108.2	LCTL	BRIP1	VWA8-AS1	SLC27A2	COL4A2-AS1	AL355838.1	GPR137C	AC009292.2	LINC01579	AL391095.1	SEMA6D	ARHGAP4	AC116407.2	TMED2-DT	LINC01044	GRTP1-AS1	NDC80		AC104982.2	GEMIN4	AC005828.1	RNF112	RPRML	CR936218.2	AC006141.1	AC107993.1	SNAP25	AC009831.1		AL391097.1		LINC01229	IMPA2	ERF	AC020915.1	AC010327.5	AC008750.4	AC007193.2	SCRT2	ZNF528	EFCAB6-AS1	AC123912.4	KIF16B	AC007773.1	NLRP2	AC245140.3	FP565260.6		NGFR	AC020911.2	NUMBL	BPIFB4	AL034548.1		AKT1S1	AC010332.3	KCNC3				BCL2	NPHS1	FKRP	AC015908.2		TRPV2	CHST8		HS3ST2	LOXL1	AC074051.5	CCDC144NL	AC009152.3	AC134312.1	HOXB-AS3	SPAG4	LDLRAD4		AC022966.1	FAM227B	AC093249.6	DHODH	MRC2	AL121757.2	AC106886.3	FZD2
